university,department,semester,source_form,date,gap,aug67_group,desired_department_match,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,desired_department_match_code,attendance_code,weekly_study_time_code,study_style_code,topic_clarity_code,sleep_duration_code,stress_frequency_code,weekly_responsibilities_code,distraction_frequency_code,study_environment_code,support_level_code,routine_manageability_code,recent_sgpa_band,cgpa_band
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,Mostly different,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Rarely,Excellent for focused study,Some support,Mostly manageable,1,3,2,2,2,3,3,1,1,4,2,3,C3,C3
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,Close to what I wanted,90% or more,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Almost always,None,Often,Very distracting,Good support,Average,3,4,1,1,1,1,4,0,3,0,3,2,C3,C3
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,Somewhat different,75-89%,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Good support,Mostly manageable,2,3,1,1,1,2,3,1,3,1,3,3,C2,C2
BRAC,CSE,10.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",75-89%,7-10 hrs,Consistent throughout the semester,About half,5-6 hrs,Often,1-5 hrs,Sometimes,Somewhat distracting,Some support,Completely unmanageable,4,3,2,4,2,1,3,1,2,1,2,0,C2,C3
BRAC,CSE,11.0,multi_uni,2026-08-24,1,False,Close to what I wanted,60-74%,Less than 3 hrs,Occasionally when necessary,A little,Less than 5 hrs,Sometimes,1-5 hrs,Often,Mostly suitable,Strong support,Average,3,2,0,0,1,0,2,1,3,3,4,2,C2,C3
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,Not at all what I wanted,75-89%,3-6 hrs,Regularly but not every day,About half,More than 8 hrs,Often,6-10 hrs,Never,Excellent for focused study,Good support,Average,0,3,1,2,2,4,3,2,0,4,3,2,C2,C2
BRAC,CSE,11.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",75-89%,11-15 hrs,Regularly but not every day,About half,6-7 hrs,Often,11-15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,4,3,3,2,2,2,3,3,4,1,3,1,C2,C1
BRAC,CSE,10.0,multi_uni,2026-08-24,0,False,Mostly different,90% or more,7-10 hrs,Occasionally when necessary,Most of it,7-8 hrs,Often,None,Sometimes,Excellent for focused study,Strong support,Completely unmanageable,1,4,2,0,3,3,3,0,2,4,4,0,C0,C0
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,7-10 hrs,Mostly consistent routine,Most of it,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,4,3,2,3,3,2,2,4,4,1,3,1,C0,C0
BRAC,EEE,11.0,multi_uni,2026-08-25,0,False,"Yes, exactly what I wanted",75-89%,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Often,1-5 hrs,Often,Very distracting,Good support,Difficult to manage,4,3,1,1,2,3,3,1,3,0,3,1,C3,C3
BRAC,CSE,10.0,multi_uni,2026-08-25,1,False,"Yes, exactly what I wanted",75-89%,7-10 hrs,Mostly consistent routine,Almost nothing,Less than 5 hrs,Often,6-10 hrs,Sometimes,Neither good nor bad,Strong support,Average,4,3,2,3,0,0,3,2,2,2,4,2,C1,C2
BRAC,EEE,10.0,multi_uni,2026-08-25,0,False,"Yes, exactly what I wanted",75-89%,Less than 3 hrs,Mostly consistent routine,About half,7-8 hrs,Almost always,None,Sometimes,Excellent for focused study,Very little support,Difficult to manage,4,3,0,3,2,3,4,0,2,4,1,1,C1,C1
BRAC,CSE,10.0,multi_uni,2026-08-26,0,False,Somewhat different,75-89%,Less than 3 hrs,Mostly consistent routine,Almost nothing,6-7 hrs,Rarely,6-10 hrs,Often,Neither good nor bad,Very little support,Difficult to manage,2,3,0,3,0,2,1,2,3,2,1,1,C1,C1
BRAC,EEE,11.0,multi_uni,2026-08-26,0,False,Close to what I wanted,90% or more,Less than 3 hrs,Consistent throughout the semester,A little,5-6 hrs,Rarely,None,Almost every day,Mostly suitable,Very little support,Average,3,4,0,4,1,1,1,0,4,3,1,2,C2,C2
BRAC,CSE,10.0,multi_uni,2026-08-26,0,False,Somewhat different,90% or more,3-6 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,6-10 hrs,Often,Mostly suitable,No support,Average,2,4,1,1,3,2,2,2,3,3,0,2,C1,C1
BRAC,ECE,10.0,multi_uni,2026-08-26,1,False,"Yes, exactly what I wanted",75-89%,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Average,4,3,2,1,3,2,4,1,3,3,3,2,C0,C1
BRAC,EEE,11.0,multi_uni,2026-08-26,0,False,Close to what I wanted,90% or more,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,11-15 hrs,Never,Somewhat distracting,Good support,Difficult to manage,3,4,3,1,1,1,2,3,0,1,3,1,C3,C3
BRAC,CSE,11.0,multi_uni,2026-08-26,0,False,Close to what I wanted,90% or more,11-15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,1-5 hrs,Sometimes,Excellent for focused study,Very little support,Very healthy and balanced,3,4,3,2,2,0,4,1,2,4,1,4,C1,C1
BRAC,EEE,10.0,multi_uni,2026-08-26,1,False,Close to what I wanted,90% or more,7-10 hrs,Mostly consistent routine,A little,6-7 hrs,Rarely,6-10 hrs,Often,Somewhat distracting,Some support,Average,3,4,2,3,1,2,1,2,3,1,2,2,C1,C2
BRAC,ECE,11.0,multi_uni,2026-08-26,0,False,"Yes, exactly what I wanted",75-89%,Less than 3 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Sometimes,None,Almost every day,Excellent for focused study,Some support,Difficult to manage,4,3,0,4,4,2,2,0,4,4,2,1,C3,C3
BRAC,CSE,11.0,multi_uni,2026-08-26,1,False,"Yes, exactly what I wanted",75-89%,3-6 hrs,Regularly but not every day,A little,6-7 hrs,Often,None,Often,Somewhat distracting,Some support,Mostly manageable,4,3,1,2,1,2,3,0,3,1,2,3,C0,C1
BRAC,ECE,11.0,multi_uni,2026-08-26,0,False,Close to what I wanted,75-89%,7-10 hrs,Mostly just before exams,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Excellent for focused study,Some support,Average,3,3,2,1,3,3,2,2,3,4,2,2,C0,C0
BRAC,CSE,11.0,multi_uni,2026-08-26,0,False,"Yes, exactly what I wanted",90% or more,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,4,4,1,1,2,3,4,2,3,3,2,3,C3,C3
BRAC,CSE,10.0,multi_uni,2026-08-26,0,False,Somewhat different,90% or more,Less than 3 hrs,Regularly but not every day,A little,5-6 hrs,Almost always,None,Almost every day,Mostly suitable,No support,Mostly manageable,2,4,0,2,1,1,4,0,4,3,0,3,C2,C2
BUET,CSE,7.0,multi_uni,2026-08-26,1,False,Mostly different,90% or more,3-6 hrs,Mostly just before exams,A little,7-8 hrs,Often,1-5 hrs,Rarely,Somewhat distracting,Good support,Very healthy and balanced,1,4,1,1,1,3,3,1,1,1,3,4,C1,C0
BUET,CSE,7.0,multi_uni,2026-08-26,0,False,Somewhat different,75-89%,7-10 hrs,Consistent throughout the semester,Most of it,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,2,3,2,4,3,3,4,2,3,3,2,3,C2,C2
