@relation main_cgpa_1102_with_id

@attribute row_id numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute recent_sgpa_band {C0,C1,C2,C3}
@attribute cgpa_band {C0,C1,C2,C3}

@data
158,2,4,2,2,3,1,0,1,4,3,1,2,C0,C3
159,3,4,2,0,3,2,2,1,3,4,3,0,C2,C3
160,3,3,0,0,3,2,3,0,4,2,3,2,C1,C1
161,0,2,1,3,3,2,0,0,3,2,0,2,C1,C3
162,0,2,4,2,4,4,3,1,1,4,0,3,C1,C1
163,3,3,2,2,0,2,4,1,2,3,3,1,C3,C3
164,0,3,1,1,1,4,4,3,1,4,0,0,C3,C0
165,4,2,1,2,1,2,4,2,1,0,1,3,C2,C1
166,0,4,1,2,2,1,3,2,1,3,1,0,C1,C0
167,4,3,0,3,0,0,2,2,2,3,2,3,C1,C2
168,4,4,3,2,4,1,0,0,2,0,0,3,C0,C3
169,1,4,1,3,1,2,4,1,1,3,1,0,C0,C0
170,4,3,0,0,2,1,2,1,2,3,4,0,C1,C2
171,1,4,3,2,4,3,1,0,3,0,0,2,C0,C0
172,4,4,2,0,4,2,2,2,2,3,2,1,C1,C2
173,4,3,2,2,2,3,2,2,4,1,3,2,C1,C0
174,2,4,1,2,0,2,1,2,3,4,1,2,C1,C1
175,3,3,2,3,1,1,3,3,3,3,1,1,C2,C2
176,3,4,1,1,0,3,3,0,3,3,2,2,C1,C1
177,4,3,4,3,3,1,1,0,1,2,3,2,C3,C2
178,4,3,4,2,3,1,1,3,1,1,1,3,C2,C2
179,4,4,4,2,3,2,1,3,2,2,3,3,C2,C2
180,2,3,3,1,2,2,1,0,2,3,3,3,C1,C1
181,3,2,3,1,2,2,1,0,3,2,3,2,C1,C1
182,2,3,4,2,3,2,1,2,2,3,2,3,C2,C1
183,3,3,3,2,3,2,1,2,2,3,2,2,C1,C2
184,2,3,4,2,2,2,2,3,2,3,2,2,C2,C2
185,4,3,3,0,3,2,2,3,3,3,3,2,C2,C1
186,3,3,4,3,3,1,1,2,2,3,3,3,C2,C2
187,4,2,4,2,2,2,1,2,2,2,3,2,C2,C1
188,4,4,4,3,3,2,1,0,1,3,3,2,C2,C2
189,2,2,4,1,0,0,2,3,3,0,3,1,C2,C1
190,4,3,4,2,4,3,3,1,2,1,3,1,C3,C0
191,4,2,4,4,4,2,4,2,3,1,4,2,C0,C3
192,2,3,4,4,1,2,0,2,4,0,0,1,C0,C1
193,0,3,0,2,4,2,4,2,2,3,2,3,C0,C1
194,1,2,4,3,4,2,3,0,4,3,2,1,C0,C3
195,0,4,4,3,4,3,0,1,0,1,1,3,C3,C3
196,1,2,4,0,4,2,3,1,4,3,2,3,C1,C0
197,0,2,0,4,3,4,0,3,0,2,0,3,C0,C2
198,0,4,2,1,1,0,4,4,1,3,3,3,C3,C2
199,3,4,4,3,3,2,3,4,4,0,1,1,C1,C1
200,3,2,2,4,4,3,3,3,3,4,1,2,C0,C3
201,3,4,1,2,4,2,1,4,0,0,2,4,C0,C0
202,0,4,4,1,3,2,4,2,0,2,1,1,C0,C0
203,4,4,4,0,0,0,4,1,4,0,4,3,C0,C0
204,0,4,1,0,4,3,4,0,3,1,2,2,C3,C2
205,0,2,0,3,2,1,1,4,3,2,4,0,C1,C0
206,4,4,3,4,2,3,0,2,1,1,0,2,C1,C2
207,2,3,1,3,1,3,0,2,4,4,0,3,C3,C1
208,0,3,3,3,0,3,4,0,1,4,3,2,C1,C0
209,1,3,4,1,0,4,1,4,1,2,3,2,C0,C0
210,2,4,2,0,4,3,4,1,1,0,3,1,C1,C0
211,2,4,2,0,4,3,4,1,1,0,3,1,C1,C0
212,2,4,4,1,3,3,2,1,0,2,4,3,C1,C0
213,0,3,0,4,1,1,2,4,0,3,3,0,C1,C3
214,4,4,3,1,0,0,4,2,4,4,4,4,C2,C3
215,3,3,4,4,0,2,4,3,0,0,3,2,C3,C3
216,3,3,0,4,1,3,2,4,3,1,4,1,C2,C1
217,0,2,3,3,2,1,4,0,1,2,2,2,C0,C0
218,1,3,1,0,1,1,1,3,0,4,1,4,C0,C0
219,1,2,0,0,1,3,0,3,2,2,3,3,C1,C3
220,4,4,4,2,0,2,3,3,1,4,2,2,C3,C0
221,1,2,2,4,3,3,0,1,3,0,2,1,C3,C0
222,1,2,3,0,3,2,4,1,4,4,4,2,C2,C0
223,1,4,3,1,2,4,3,4,2,4,1,2,C3,C0
224,0,2,0,2,4,1,4,2,2,0,0,0,C2,C2
225,3,2,4,0,0,1,4,4,1,4,1,1,C0,C3
226,0,3,4,2,3,0,2,3,0,4,2,0,C3,C0
227,2,4,2,2,2,1,2,0,1,1,3,3,C2,C2
228,0,3,1,2,3,0,0,3,4,1,0,0,C1,C1
229,4,4,0,1,1,2,1,0,4,3,3,1,C0,C0
230,3,4,1,0,2,3,2,0,3,3,2,2,C3,C3
231,4,4,1,1,0,2,1,0,4,2,3,1,C2,C2
232,3,4,0,1,1,0,2,0,3,2,0,2,C2,C2
233,4,1,3,1,0,1,3,4,1,1,2,1,C1,C1
234,3,4,2,2,1,1,2,1,4,3,4,1,C2,C2
235,4,3,1,0,2,3,3,0,3,2,4,3,C0,C0
236,4,4,0,0,2,0,2,0,3,3,2,1,C2,C2
237,3,4,2,2,1,3,3,3,4,3,3,3,C3,C3
238,4,3,1,1,1,2,2,3,3,1,0,0,C3,C3
239,4,4,4,0,1,1,2,1,3,2,3,3,C2,C3
240,4,4,1,2,2,2,3,0,2,4,2,1,C3,C3
241,4,3,4,2,1,1,3,1,2,2,3,1,C2,C2
242,4,4,2,2,2,1,3,0,3,0,1,1,C3,C2
243,3,4,2,1,1,3,2,0,4,2,3,1,C3,C2
244,4,4,0,1,1,1,2,0,4,3,3,1,C2,C1
