run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,subset,data,model,acc_std,repeats
KUET sem 4|quest|J48,335,0.29850746268656714,0.0,0.0,0.2537313432835821,0.746268656716418,0.9552238805970149,0.11494252873563218,KUET sem 4,quest,J48,0.0,5
KUET sem 4|quest|RandomForest,335,0.32238805970149254,0.07667557066537145,0.17292207360085177,0.2835820895522388,0.7164179104477612,1.0985074626865672,0.28869038038961936,KUET sem 4,quest,RandomForest,0.04868509382179133,5
KUET sem 4|quest|SMO,335,0.2865671641791045,0.013491867915229272,0.11794562700250599,0.3194029850746269,0.6805970149253732,1.1940298507462686,0.24330394673213557,KUET sem 4,quest,SMO,0.04662835627406957,5
KUET sem 4|quest|Logistic,335,0.2865671641791045,0.03681203007518785,0.15444780299537209,0.29850746268656714,0.7014925373134329,1.1313432835820896,0.2798417129121208,KUET sem 4,quest,Logistic,0.04662835627406958,5
All sem 4|main|ZeroR,375,0.30666666666666664,0.0,0.0,0.4266666666666667,0.5733333333333334,1.3866666666666667,0.1173469387755102,All sem 4,main,ZeroR,0.0,5
All sem 4|main|J48,375,0.30666666666666664,0.0,0.0,0.4266666666666667,0.5733333333333334,1.3866666666666667,0.1173469387755102,All sem 4,main,J48,0.0,5
All sem 4|main|RandomForest,375,0.7413333333333333,0.6444802814836534,0.7512902984516419,0.07466666666666667,0.9253333333333333,0.37866666666666665,0.7078007328845846,All sem 4,main,RandomForest,0.010666666666666698,5
All sem 4|main|SMO,375,0.7653333333333333,0.6769456681350955,0.763239685538424,0.08533333333333333,0.9146666666666666,0.36,0.7314494849234942,All sem 4,main,SMO,0.010666666666666647,5
All sem 4|main|Logistic,375,0.56,0.40599049584793356,0.5024342745861734,0.16533333333333333,0.8346666666666667,0.6906666666666667,0.5374639676184462,All sem 4,main,Logistic,0.030404678002643674,5
All sem 4|quest|ZeroR,375,0.30666666666666664,0.0,0.0,0.4266666666666667,0.5733333333333334,1.3866666666666667,0.1173469387755102,All sem 4,quest,ZeroR,0.0,5
All sem 4|quest|J48,375,0.30666666666666664,0.0,0.0,0.4266666666666667,0.5733333333333334,1.3866666666666667,0.1173469387755102,All sem 4,quest,J48,0.0,5
All sem 4|quest|RandomForest,375,0.328,0.08105217095346917,0.20277242493939196,0.30933333333333335,0.6906666666666667,1.1173333333333333,0.2885647845991873,All sem 4,quest,RandomForest,0.03919183588453083,5
All sem 4|quest|SMO,375,0.3253333333333333,0.05952616970658209,0.13094058835725308,0.32266666666666666,0.6773333333333333,1.2053333333333334,0.28570026117021075,All sem 4,quest,SMO,0.03435759660460034,5
All sem 4|quest|Logistic,375,0.2906666666666667,0.04604791278152354,0.15166543012222256,0.2826666666666667,0.7173333333333334,1.144,0.2861913025901574,All sem 4,quest,Logistic,0.022939534045446994,5
KUET sem 7|main|ZeroR,3375,0.3037037037037037,0.0,0.0,0.20148148148148148,0.7985185185185185,0.8977777777777778,0.11647727272727272,KUET sem 7,main,ZeroR,0.0,5
KUET sem 7|main|J48,3375,0.30992592592592594,0.05871832531705368,0.036754246293511206,0.28355555555555556,0.7164444444444444,1.039111111111111,0.2878679776356823,KUET sem 7,main,J48,0.008136017906812424,5
KUET sem 7|main|RandomForest,3375,0.31733333333333336,0.06999718344054395,0.05169228458250996,0.2791111111111111,0.7208888888888889,1.0302222222222222,0.2948870665130165,KUET sem 7,main,RandomForest,0.010450484200621264,5
KUET sem 7|main|SMO,3375,0.31733333333333336,0.06307439557996664,0.06873135141339914,0.2485925925925926,0.7514074074074074,0.981037037037037,0.2812389682252394,KUET sem 7,main,SMO,0.006313266889677784,5
KUET sem 7|main|Logistic,3375,0.31733333333333336,0.06459311725306027,0.058855261838624995,0.25925925925925924,0.7407407407407407,1.000888888888889,0.28656279096198406,KUET sem 7,main,Logistic,0.004993273939660058,5
KUET sem 7|quest|ZeroR,3375,0.3037037037037037,0.0,0.0,0.20148148148148148,0.7985185185185185,0.8977777777777778,0.11647727272727272,KUET sem 7,quest,ZeroR,0.0,5
KUET sem 7|quest|J48,3375,0.2574814814814815,-0.019217849492816352,-0.029638814846947303,0.2877037037037037,0.7122962962962963,1.0891851851851853,0.226657805642334,KUET sem 7,quest,J48,0.009247103131453185,5
KUET sem 7|quest|RandomForest,3375,0.28355555555555556,0.019426429195817385,-0.0009832323520888586,0.2877037037037037,0.7122962962962963,1.0684444444444445,0.2555676234115086,KUET sem 7,quest,RandomForest,0.013435003317042527,5
KUET sem 7|quest|SMO,3375,0.2820740740740741,-0.008735248513286997,0.01914772951611088,0.2162962962962963,0.7837037037037037,0.9487407407407408,0.19781616053379028,KUET sem 7,quest,SMO,0.01413553830148333,5
KUET sem 7|quest|Logistic,3375,0.28503703703703703,0.01363957323269327,0.036626758618225175,0.24918518518518518,0.7508148148148148,1.0124444444444445,0.24933304964443792,KUET sem 7,quest,Logistic,0.006665020372860449,5
KUET sem 7 before 6 Aug|main|ZeroR,600,0.4,0.0,0.0,0.18333333333333332,0.8166666666666667,0.7833333333333333,0.14285714285714288,KUET sem 7 before 6 Aug,main,ZeroR,0.0,5
KUET sem 7 before 6 Aug|main|J48,600,0.36666666666666664,-0.023523074160531454,0.004489556900253766,0.16666666666666666,0.8333333333333334,0.8,0.1761629266012155,KUET sem 7 before 6 Aug,main,J48,0.019002923751652315,5
KUET sem 7 before 6 Aug|main|RandomForest,600,0.595,0.40905866855811135,0.655687531880784,0.04,0.96,0.445,0.5708708905092517,KUET sem 7 before 6 Aug,main,RandomForest,0.013540064007726586,5
KUET sem 7 before 6 Aug|main|SMO,600,0.625,0.45531571515029257,0.7169002001715756,0.021666666666666667,0.9783333333333334,0.39666666666666667,0.5965434419381788,KUET sem 7 before 6 Aug,main,SMO,0.009128709291752777,5
