university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,Almost nothing,5-6 hrs,Often,none,Often,Somewhat distracting,Good support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.438,0.25,0.5,0.5,C3_3_75_plus
BRAC,CSE,0.833,4,60-74%,7-10 hrs,Regularly but not every day,About half,6-7 hrs,Often,6-10 hrs,Almost every day,Neither good nor bad,Good support,Difficult to manage,Neutral,Somewhat different,Completely,0.25,0.333,0.625,0.667,C1_3_20_to_3_49
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Occasionally when necessary,A little,7-8 hrs,Sometimes,11-15 hrs,Often,Excellent for focused study,Good support,Difficult to manage,Very satisfied,Close to what I wanted,Mostly,0.375,0.5,0.875,0.833,C0_below_3_20
BUET,CSE,0.875,4,75-89%,3-6 hrs,Regularly but not every day,Almost everything,5-6 hrs,Often,6-10 hrs,Sometimes,Mostly suitable,Very little support,Difficult to manage,Very satisfied,Close to what I wanted,Somewhat,0.438,0.25,0.5,0.75,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,About half,6-7 hrs,Almost always,More than 15 hrs,Often,Mostly suitable,Very little support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.438,0.333,0.5,0.583,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,More than 15 hrs,Regularly but not every day,About half,7-8 hrs,Sometimes,11-15 hrs,Often,Neither good nor bad,Strong support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.562,0.5,0.75,0.5,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,11-15 hrs,Occasionally when necessary,About half,Less than 5 hrs,Sometimes,11-15 hrs,Sometimes,Mostly suitable,Good support,Average,Very dissatisfied,"Yes, exactly what I wanted",Slightly,0.562,0.333,0.75,0.417,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Mostly just before exams,Almost nothing,7-8 hrs,Sometimes,6-10 hrs,Almost every day,Mostly suitable,Strong support,Average,Very dissatisfied,Close to what I wanted,Somewhat,0.25,0.583,0.875,0.417,C3_3_75_plus
BUET,CSE,0.875,4,90% or more,11-15 hrs,Regularly but not every day,Almost everything,5-6 hrs,Rarely,6-10 hrs,Never,Neither good nor bad,Good support,Mostly manageable,Very dissatisfied,Close to what I wanted,Slightly,0.812,0.583,0.625,0.333,C0_below_3_20
BUET,CSE,0.875,4,90% or more,7-10 hrs,Occasionally when necessary,Almost everything,Less than 5 hrs,Sometimes,More than 15 hrs,Sometimes,Neither good nor bad,Very little support,Average,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.5,0.333,0.375,0.5,C0_below_3_20
BUET,CSE,0.875,4,90% or more,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,11-15 hrs,Often,Mostly suitable,Strong support,Average,Very dissatisfied,Close to what I wanted,Completely,0.625,0.417,0.875,0.583,C3_3_75_plus
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Mostly consistent routine,About half,5-6 hrs,Sometimes,11-15 hrs,Rarely,Somewhat distracting,Good support,Difficult to manage,Very dissatisfied,"Yes, exactly what I wanted",Slightly,0.562,0.333,0.5,0.417,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,Less than 3 hrs,Mostly just before exams,About half,6-7 hrs,Often,none,Often,Somewhat distracting,Some support,Average,Very dissatisfied,"Yes, exactly what I wanted",Somewhat,0.375,0.417,0.375,0.5,C3_3_75_plus
