@relation student_performance_behavior

@attribute admission_satisfaction numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute career_expectation numeric
@attribute academic_progress numeric
@attribute discipline_index numeric
@attribute wellbeing_index numeric
@attribute environment_index numeric
@attribute motivation_index numeric
@attribute university {BRAC,BUET,CUET}
@attribute department {BME,CE,CSE,ChE,ECE,EEE,IPE,ME,MME,NCE,Other,PMRE}
@attribute current_cgpa_band {C0_below_3_20,C1_3_20_to_3_49,C2_3_50_to_3_74,C3_3_75_plus}

@data
2,4,1,4,3,3,1,1,0,1,2,3,2,2,0.875,0.75,0.5,0.625,0.667,CUET,CSE,C3_3_75_plus
3,4,1,4,2,3,1,1,3,1,1,1,3,2,0.875,0.688,0.583,0.25,0.75,CUET,CSE,C2_3_50_to_3_74
2,4,2,4,2,3,2,1,3,2,2,3,3,2,0.875,0.75,0.667,0.625,0.667,CUET,CSE,C2_3_50_to_3_74
1,2,1,3,1,2,2,1,0,2,3,3,3,0,0.875,0.5,0.667,0.75,0.25,CUET,BME,C1_3_20_to_3_49
2,3,0,3,1,2,2,1,0,3,2,3,2,2,0.875,0.312,0.583,0.625,0.583,CUET,BME,C1_3_20_to_3_49
2,2,1,4,2,3,2,1,2,2,3,2,3,1,0.875,0.625,0.667,0.625,0.417,CUET,BME,C2_3_50_to_3_74
2,3,1,3,2,3,2,1,2,2,3,2,2,2,0.875,0.562,0.583,0.625,0.583,CUET,BME,C1_3_20_to_3_49
1,2,1,4,2,2,2,2,3,2,3,2,2,1,0.875,0.625,0.5,0.625,0.333,CUET,BME,C2_3_50_to_3_74
3,4,1,3,0,3,2,2,3,3,3,3,2,2,0.875,0.375,0.5,0.75,0.75,CUET,EEE,C2_3_50_to_3_74
2,3,1,4,3,3,1,1,2,2,3,3,3,3,0.875,0.688,0.583,0.75,0.667,CUET,ECE,C2_3_50_to_3_74
2,4,0,4,2,2,2,1,2,2,2,3,2,3,0.875,0.5,0.583,0.625,0.75,CUET,CE,C2_3_50_to_3_74
3,4,2,4,3,3,2,1,0,1,3,3,2,2,0.875,0.875,0.583,0.75,0.75,CUET,ECE,C2_3_50_to_3_74
4,2,0,4,1,0,0,2,3,3,0,3,1,0,1,0.375,0.25,0.375,0.5,BUET,ChE,C2_3_50_to_3_74
4,4,1,4,2,4,3,3,1,2,1,3,1,4,1.125,0.625,0.417,0.5,1,BUET,MME,C3_3_75_plus
4,4,0,4,4,4,2,4,2,3,1,4,2,0,1.5,0.562,0.333,0.625,0.667,BUET,NCE,C0_below_3_20
2,2,1,4,4,1,2,0,2,4,0,0,1,0,0.625,0.625,0.583,0,0.333,BUET,PMRE,C0_below_3_20
3,0,1,0,2,4,2,4,2,2,3,2,3,0,0.25,0.375,0.417,0.625,0.25,BUET,ME,C0_below_3_20
4,1,0,4,3,4,2,3,0,4,3,2,1,2,0.125,0.438,0.333,0.625,0.583,BUET,IPE,C0_below_3_20
3,0,2,4,3,4,3,0,1,0,1,1,3,2,1,0.938,0.833,0.25,0.417,BUET,Other,C3_3_75_plus
4,1,0,4,0,4,2,3,1,4,3,2,3,3,1,0.25,0.5,0.625,0.667,BUET,Other,C1_3_20_to_3_49
2,0,0,0,4,3,4,0,3,0,2,0,3,3,1.5,0.5,0.917,0.25,0.417,BUET,EEE,C0_below_3_20
4,0,2,2,1,1,0,4,4,1,3,3,3,0,1.375,0.625,0.25,0.75,0.333,BUET,CSE,C3_3_75_plus
3,3,2,4,3,3,2,3,4,4,0,1,1,4,0.25,0.688,0.333,0.125,0.833,BUET,BME,C1_3_20_to_3_49
3,3,0,2,4,4,3,3,3,3,4,1,2,1,0.5,0.438,0.5,0.625,0.583,BUET,Other,C0_below_3_20
3,3,2,1,2,4,2,1,4,0,0,2,4,3,1.25,0.688,0.75,0.25,0.75,BUET,Other,C0_below_3_20
3,0,2,4,1,3,2,4,2,0,2,1,1,1,0.5,0.812,0.25,0.375,0.333,BUET,CE,C0_below_3_20
2,4,2,4,0,0,0,4,1,4,0,4,3,2,1.5,0.5,0.25,0.5,0.667,BUET,Other,C0_below_3_20
2,0,2,1,0,4,3,4,0,3,1,2,2,2,0.625,0.375,0.417,0.375,0.333,BUET,ChE,C3_3_75_plus
3,0,0,0,3,2,1,1,4,3,2,4,0,0,1.125,0.25,0.333,0.75,0.25,BUET,MME,C1_3_20_to_3_49
4,4,2,3,4,2,3,0,2,1,1,0,2,3,0.375,0.875,0.75,0.125,0.917,BUET,NCE,C1_3_20_to_3_49
4,2,1,1,3,1,3,0,2,4,4,0,3,1,0.125,0.375,0.833,0.5,0.583,BUET,PMRE,C3_3_75_plus
2,0,1,3,3,0,3,4,0,1,4,3,2,2,1.125,0.688,0.417,0.875,0.333,BUET,ME,C1_3_20_to_3_49
4,1,1,4,1,0,4,1,4,1,2,3,2,4,1,0.625,0.75,0.625,0.75,BUET,IPE,C0_below_3_20
4,2,2,2,0,4,3,4,1,1,0,3,1,3,0.75,0.562,0.333,0.375,0.75,BUET,ME,C1_3_20_to_3_49
4,2,2,2,0,4,3,4,1,1,0,3,1,3,0.75,0.562,0.333,0.375,0.75,BUET,CSE,C1_3_20_to_3_49
2,2,2,4,1,3,3,2,1,0,2,4,3,2,1.5,0.812,0.667,0.75,0.5,BUET,EEE,C1_3_20_to_3_49
4,0,1,0,4,1,1,2,4,0,3,3,0,4,0.625,0.625,0.25,0.75,0.667,BUET,CE,C1_3_20_to_3_49
4,4,2,3,1,0,0,4,2,4,4,4,4,3,0.375,0.5,0.333,1,0.917,BUET,ME,C2_3_50_to_3_74
4,3,1,4,4,0,2,4,3,0,0,3,2,4,0.375,0.875,0.333,0.375,0.917,BUET,EEE,C3_3_75_plus
2,3,1,0,4,1,3,2,4,3,1,4,1,2,0.75,0.438,0.5,0.625,0.583,BUET,CSE,C2_3_50_to_3_74
2,0,0,3,3,2,1,4,0,1,2,2,2,4,0.5,0.562,0.25,0.5,0.5,BUET,CE,C0_below_3_20
4,1,1,1,0,1,1,1,3,0,4,1,4,1,0.875,0.438,0.667,0.625,0.5,BUET,ME,C0_below_3_20
3,1,0,0,0,1,3,0,3,2,2,3,3,3,0.625,0.125,0.833,0.625,0.583,BUET,ME,C1_3_20_to_3_49
4,4,2,4,2,0,2,3,3,1,4,2,2,2,0.625,0.812,0.417,0.75,0.833,BUET,CE,C3_3_75_plus
4,1,0,2,4,3,3,0,1,3,0,2,1,4,0.125,0.438,0.667,0.25,0.75,BUET,EEE,C3_3_75_plus
3,1,0,3,0,3,2,4,1,4,4,4,2,3,0.125,0.188,0.333,1,0.583,BUET,CSE,C2_3_50_to_3_74
2,1,2,3,1,2,4,3,4,2,4,1,2,2,0.625,0.625,0.583,0.625,0.417,BUET,CSE,C3_3_75_plus
4,0,0,0,2,4,1,4,2,2,0,0,0,4,0.75,0.25,0.083,0,0.667,BUET,CE,C2_3_50_to_3_74
3,3,0,4,0,0,1,4,4,1,4,1,1,3,1.375,0.438,0.167,0.625,0.75,BUET,EEE,C0_below_3_20
4,0,1,4,2,3,0,2,3,0,4,2,0,3,0.625,0.75,0.167,0.75,0.583,BUET,ME,C3_3_75_plus
3,2,2,2,2,2,1,2,0,1,1,3,3,1,0.625,0.688,0.5,0.5,0.5,BUET,ME,C2_3_50_to_3_74
3,0,1,1,2,3,0,0,3,4,1,0,0,1,1.25,0.312,0.333,0.125,0.333,BUET,EEE,C1_3_20_to_3_49
2,4,2,0,1,1,2,1,0,4,3,3,1,1,0.917,0.312,0.5,0.75,0.583,BRAC,CSE,C0_below_3_20
