@relation student_performance_behavior

@attribute admission_satisfaction numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute career_expectation numeric
@attribute academic_progress numeric
@attribute discipline_index numeric
@attribute wellbeing_index numeric
@attribute environment_index numeric
@attribute motivation_index numeric
@attribute university {BRAC,BUET,CUET}
@attribute department {BME,CE,CSE,ChE,ECE,EEE,IPE,ME,MME,NCE,Other,PMRE}
@attribute current_cgpa_band {C0_below_3_20,C1_3_20_to_3_49,C2_3_50_to_3_74,C3_3_75_plus}

@data
2,3,2,2,0,3,2,2,1,3,4,3,0,3,0.75,0.438,0.333,0.875,0.667,BUET,Other,C2_3_50_to_3_74
2,3,1,0,0,3,2,3,0,4,2,3,2,2,0.833,0.125,0.417,0.625,0.583,BRAC,CSE,C1_3_20_to_3_49
2,0,0,1,3,3,2,0,0,3,2,0,2,1,0.375,0.312,0.667,0.25,0.25,BUET,Other,C1_3_20_to_3_49
3,0,0,4,2,4,4,3,1,1,4,0,3,0,1.25,0.562,0.667,0.5,0.25,BUET,CE,C1_3_20_to_3_49
3,3,1,2,2,0,2,4,1,2,3,3,1,3,0.917,0.5,0.25,0.75,0.75,BRAC,EEE,C3_3_75_plus
2,0,1,1,1,1,4,4,3,1,4,0,0,0,1.25,0.438,0.333,0.5,0.167,BUET,Other,C3_3_75_plus
4,4,0,1,2,1,2,4,2,1,0,1,3,1,0.125,0.375,0.417,0.125,0.75,BUET,ChE,C2_3_50_to_3_74
2,0,2,1,2,2,1,3,2,1,3,1,0,3,1.5,0.625,0.167,0.5,0.417,BUET,MME,C1_3_20_to_3_49
3,4,1,0,3,0,0,2,2,2,3,2,3,3,0.833,0.438,0.417,0.625,0.833,BRAC,CSE,C1_3_20_to_3_49
3,4,2,3,2,4,1,0,0,2,0,0,3,0,0.375,0.688,0.667,0,0.583,BUET,NCE,C0_below_3_20
2,1,2,1,3,1,2,4,1,1,3,1,0,0,0.75,0.688,0.167,0.5,0.25,BUET,PMRE,C0_below_3_20
4,4,1,0,0,2,1,2,1,2,3,4,0,3,0.917,0.25,0.25,0.875,0.917,BRAC,CSE,C1_3_20_to_3_49
2,1,2,3,2,4,3,1,0,3,0,0,2,2,0.625,0.625,0.667,0,0.417,BUET,ME,C0_below_3_20
3,4,2,2,0,4,2,2,2,2,3,2,1,2,0.833,0.5,0.417,0.625,0.75,BRAC,CSE,C1_3_20_to_3_49
1,4,1,2,2,2,3,2,2,4,1,3,2,0,0.917,0.375,0.583,0.5,0.417,BRAC,CSE,C1_3_20_to_3_49
2,2,2,1,2,0,2,1,2,3,4,1,2,3,0.833,0.5,0.583,0.625,0.583,BRAC,CSE,C1_3_20_to_3_49
3,3,1,2,3,1,1,3,3,3,3,1,1,3,0.917,0.5,0.25,0.5,0.75,BRAC,CSE,C2_3_50_to_3_74
3,3,2,1,1,0,3,3,0,3,3,2,2,2,0.833,0.438,0.5,0.625,0.667,BRAC,ECE,C1_3_20_to_3_49
